instrument,trading_day,update_time_raw,turnover,volume,last_price,open_interest,upper_limit_price,lower_limit_price,local_timestamp_us,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,bid_volume_5,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4,ask_volume_5,ms_of_day,product,contract_yyyymm,grid_phase_ms,session,is_preopen,is_in_continuous_session,is_out_of_session,exchange_ts,local_ts_utc,phase_residual_ms,is_observed_snapshot,bid_levels_present,ask_levels_present,one_sided_book,partial_depth_book,row_integrity_ok,source_file_integrity,session_boundary,interval_volume,interval_turnover,delta_open_interest,interval_vwap
IF2403,20240104,093000700,32573100.0,32,3392.6,101106,3734.4,3055.6,1704331800859616,3392.2,3392.0,3391.2,3391.0,3390.0,3392.6,3393.0,3393.2,3393.4,3393.6,22,1,2,3,8,4,5,3,4,3,34200700,IF,202403,200,AM,False,True,False,2024-01-04 09:30:00.700,2024-01-04 01:30:00.859616+00:00,0,True,5,5,False,False,True,PASS,False,9.0,9159780.0,-4.0,3392.511111111111
IF2406,20240104,093000700,36532380.0,36,3383.4,62736,3728.0,3050.4,1704331800859624,3383.2,3383.0,3382.8,3382.4,3382.2,3384.0,3385.0,3386.0,3388.0,3388.8,2,1,1,7,3,14,4,8,2,2,34200700,IF,202406,200,AM,False,True,False,2024-01-04 09:30:00.700,2024-01-04 01:30:00.859624+00:00,0,True,5,5,False,False,True,PASS,False,12.0,12181980.0,-2.0,3383.883333333333
IF2401,20240104,093001200,215996640.0,213,3379.0,99012,3719.6,3043.6,1704331801306818,3377.2,3377.0,3376.6,3376.2,3376.0,3379.0,3379.4,3379.6,3379.8,3380.0,1,7,2,3,20,2,1,4,6,3,34201200,IF,202401,200,AM,False,True,False,2024-01-04 09:30:01.200,2024-01-04 01:30:01.306818+00:00,0,True,5,5,False,False,True,PASS,False,31.0,31418520.0,-13.0,3378.335483870968
IF2402,20240104,093001200,7117740.0,7,3389.4,6554,3727.0,3049.4,1704331801306826,3385.0,3384.2,3384.0,3383.8,3382.0,3385.4,3386.8,3387.0,3387.2,3387.6,2,1,2,11,1,1,1,1,2,2,34201200,IF,202402,200,AM,False,True,False,2024-01-04 09:30:01.200,2024-01-04 01:30:01.306826+00:00,0,True,5,5,False,False,True,PASS,False,0.0,0.0,0.0,
IF2403,20240104,093001200,64123380.0,63,3392.2,101086,3734.4,3055.6,1704331801306834,3392.2,3392.0,3391.2,3391.0,3390.0,3393.8,3394.0,3394.4,3394.6,3394.8,5,1,2,3,8,2,2,2,14,1,34201200,IF,202403,200,AM,False,True,False,2024-01-04 09:30:01.200,2024-01-04 01:30:01.306834+00:00,0,True,5,5,False,False,True,PASS,False,31.0,31550280.0,-20.0,3392.5032258064516
IF2406,20240104,093001200,50740740.0,50,3383.8,62729,3728.0,3050.4,1704331801306842,3382.2,3382.0,3381.6,3381.4,3381.0,3383.8,3384.0,3385.0,3386.0,3388.0,2,12,2,1,1,3,14,4,8,2,34201200,IF,202406,200,AM,False,True,False,2024-01-04 09:30:01.200,2024-01-04 01:30:01.306842+00:00,0,True,5,5,False,False,True,PASS,False,14.0,14208360.0,-7.0,3382.942857142857
IF2401,20240104,093001700,230185260.0,227,3378.4,99004,3719.6,3043.6,1704331801805238,3377.8,3377.4,3377.2,3377.0,3376.6,3378.6,3378.8,3379.0,3379.8,3380.0,1,12,5,7,2,5,21,8,4,3,34201700,IF,202401,200,AM,False,True,False,2024-01-04 09:30:01.700,2024-01-04 01:30:01.805238+00:00,0,True,5,5,False,False,True,PASS,False,14.0,14188620.0,-8.0,3378.2428571428572
IF2402,20240104,093001700,10164360.0,10,3385.0,6553,3727.0,3049.4,1704331801805246,3384.2,3384.0,3383.8,3382.0,3381.0,3387.2,3387.6,3387.8,3388.0,3390.0,1,2,11,1,1,2,2,1,1,5,34201700,IF,202402,200,AM,False,True,False,2024-01-04 09:30:01.700,2024-01-04 01:30:01.805246+00:00,0,True,5,5,False,False,True,PASS,False,3.0,3046620.0,-1.0,3385.133333333333
IF2403,20240104,093001700,74300160.0,73,3392.4,101078,3734.4,3055.6,1704331801805254,3391.2,3391.0,3390.0,3389.0,3388.2,3392.4,3392.6,3392.8,3393.0,3393.2,2,3,8,21,2,1,3,6,3,6,34201700,IF,202403,200,AM,False,True,False,2024-01-04 09:30:01.700,2024-01-04 01:30:01.805254+00:00,0,True,5,5,False,False,True,PASS,False,10.0,10176780.0,-8.0,3392.26
IF2406,20240104,093001700,55816500.0,55,3384.0,62726,3728.0,3050.4,1704331801805262,3382.4,3382.2,3382.0,3381.6,3381.4,3384.0,3385.0,3386.0,3388.0,3388.8,5,2,12,2,1,13,4,8,2,2,34201700,IF,202406,200,AM,False,True,False,2024-01-04 09:30:01.700,2024-01-04 01:30:01.805262+00:00,0,True,5,5,False,False,True,PASS,False,5.0,5075760.0,-3.0,3383.84
IF2401,20240104,093002200,242345280.0,239,3377.4,98999,3719.6,3043.6,1704331802306553,3377.4,3377.2,3377.0,3376.8,3376.6,3377.8,3378.0,3378.4,3378.6,3378.8,2,3,7,1,3,1,1,4,7,3,34202200,IF,202401,200,AM,False,True,False,2024-01-04 09:30:02.200,2024-01-04 01:30:02.306553+00:00,0,True,5,5,False,False,True,PASS,False,12.0,12160020.0,-5.0,3377.7833333333333
IF2402,20240104,093002200,11179740.0,11,3384.6,6552,3727.0,3049.4,1704331802306561,3384.4,3384.2,3384.0,3383.8,3382.0,3386.4,3386.8,3387.0,3387.2,3387.6,1,1,2,11,1,2,2,1,1,1,34202200,IF,202402,200,AM,False,True,False,2024-01-04 09:30:02.200,2024-01-04 01:30:02.306561+00:00,0,True,5,5,False,False,True,PASS,False,1.0,1015380.0,-1.0,3384.6
IF2403,20240104,093002200,78370260.0,77,3391.2,101077,3734.4,3055.6,1704331802306569,3391.2,3391.0,3390.0,3389.0,3388.2,3392.4,3392.6,3392.8,3393.0,3393.4,1,3,8,21,2,1,2,6,3,14,34202200,IF,202403,200,AM,False,True,False,2024-01-04 09:30:02.200,2024-01-04 01:30:02.306569+00:00,0,True,5,5,False,False,True,PASS,False,4.0,4070100.0,-1.0,3391.75
IF2406,20240104,093002200,59876880.0,59,3384.0,62722,3728.0,3050.4,1704331802306577,3382.2,3382.0,3381.6,3381.4,3381.0,3384.0,3385.0,3386.0,3388.0,3388.8,2,12,2,1,1,11,4,8,2,2,34202200,IF,202406,200,AM,False,True,False,2024-01-04 09:30:02.200,2024-01-04 01:30:02.306577+00:00,0,True,5,5,False,False,True,PASS,False,4.0,4060380.0,-4.0,3383.65
IF2401,20240104,093002700,281860860.0,278,3377.4,98969,3719.6,3043.6,1704331802804369,3376.8,3376.6,3376.2,3376.0,3375.8,3377.2,3377.6,3377.8,3378.0,3378.4,1,3,4,20,1,15,2,3,1,3,34202700,IF,202401,200,AM,False,True,False,2024-01-04 09:30:02.700,2024-01-04 01:30:02.804369+00:00,0,True,5,5,False,False,True,PASS,False,39.0,39515580.0,-30.0,3377.4
IF2402,20240104,093002700,12195060.0,12,3384.4,6551,3727.0,3049.4,1704331802804377,3384.2,3384.0,3383.8,3382.0,3381.0,3384.6,3386.0,3386.2,3386.4,3386.8,1,2,11,1,1,1,2,2,2,1,34202700,IF,202402,200,AM,False,True,False,2024-01-04 09:30:02.700,2024-01-04 01:30:02.804377+00:00,0,True,5,5,False,False,True,PASS,False,1.0,1015320.0,-1.0,3384.4
IF2403,20240104,093002700,85491720.0,84,3391.0,101076,3734.4,3055.6,1704331802804385,3390.0,3389.0,3388.2,3388.0,3387.8,3391.8,3392.0,3392.2,3392.4,3392.6,8,21,2,6,1,2,9,1,3,2,34202700,IF,202403,200,AM,False,True,False,2024-01-04 09:30:02.700,2024-01-04 01:30:02.804385+00:00,0,True,5,5,False,False,True,PASS,False,7.0,7121460.0,-1.0,3391.1714285714284
IF2406,20240104,093002700,62922360.0,62,3383.8,62719,3728.0,3050.4,1704331802804393,3382.2,3382.0,3381.6,3381.4,3381.0,3383.8,3384.0,3385.0,3386.0,3386.6,2,12,2,1,1,1,11,4,8,6,34202700,IF,202406,200,AM,False,True,False,2024-01-04 09:30:02.700,2024-01-04 01:30:02.804393+00:00,0,True,5,5,False,False,True,PASS,False,3.0,3045480.0,-3.0,3383.866666666667
IF2401,20240104,093003200,319346880.0,315,3377.2,98941,3719.6,3043.6,1704331803307156,3376.2,3376.0,3375.8,3375.6,3375.4,3377.2,3377.4,3377.8,3378.0,3378.4,3,20,1,3,1,32,3,3,1,2,34203200,IF,202401,200,AM,False,True,False,2024-01-04 09:30:03.200,2024-01-04 01:30:03.307156+00:00,0,True,5,5,False,False,True,PASS,False,37.0,37486020.0,-28.0,3377.118918918919
IF2402,20240104,093003200,15240720.0,15,3384.0,6551,3727.0,3049.4,1704331803307164,3383.8,3382.0,3381.0,3379.4,3374.2,3384.2,3385.4,3386.0,3386.2,3386.8,11,1,1,2,4,1,1,1,2,1,34203200,IF,202402,200,AM,False,True,False,2024-01-04 09:30:03.200,2024-01-04 01:30:03.307164+00:00,0,True,5,5,False,False,True,PASS,False,3.0,3045660.0,0.0,3384.0666666666666
IF2403,20240104,093003200,89560440.0,88,3390.8,101075,3734.4,3055.6,1704331803307172,3390.0,3389.0,3388.2,3388.0,3387.8,3391.0,3391.2,3391.4,3391.6,3391.8,10,21,2,6,1,2,4,2,2,5,34203200,IF,202403,200,AM,False,True,False,2024-01-04 09:30:03.200,2024-01-04 01:30:03.307172+00:00,0,True,5,5,False,False,True,PASS,False,4.0,4068720.0,-1.0,3390.6
IF2406,20240104,093003200,78141960.0,77,3382.0,62717,3728.0,3050.4,1704331803307179,3381.6,3381.4,3381.0,3380.8,3380.2,3383.6,3383.8,3384.0,3385.0,3386.0,2,1,1,1,1,1,1,11,4,8,34203200,IF,202406,200,AM,False,True,False,2024-01-04 09:30:03.200,2024-01-04 01:30:03.307179+00:00,0,True,5,5,False,False,True,PASS,False,15.0,15219600.0,-2.0,3382.133333333333
IF2401,20240104,093003700,332516100.0,328,3377.2,98933,3719.6,3043.6,1704331803805646,3376.2,3376.0,3375.8,3375.6,3375.4,3377.2,3377.4,3377.8,3378.0,3378.4,1,21,1,3,1,51,3,3,1,2,34203700,IF,202401,200,AM,False,True,False,2024-01-04 09:30:03.700,2024-01-04 01:30:03.805646+00:00,0,True,5,5,False,False,True,PASS,False,13.0,13169220.0,-8.0,3376.723076923077
IF2402,20240104,093003700,26407260.0,26,3383.8,6540,3727.0,3049.4,1704331803805654,3382.0,3381.0,3379.4,3374.2,3372.4,3384.0,3385.4,3386.0,3386.2,3386.8,1,1,2,4,1,1,1,1,2,1,34203700,IF,202402,200,AM,False,True,False,2024-01-04 09:30:03.700,2024-01-04 01:30:03.805654+00:00,0,True,5,5,False,False,True,PASS,False,11.0,11166540.0,-11.0,3383.8
IF2403,20240104,093003700,91594440.0,90,3390.0,101075,3734.4,3055.6,1704331803805662,3390.0,3389.0,3388.2,3388.0,3387.2,3390.4,3390.6,3390.8,3391.0,3391.2,8,21,2,6,1,1,5,1,2,5,34203700,IF,202403,200,AM,False,True,False,2024-01-04 09:30:03.700,2024-01-04 01:30:03.805662+00:00,0,True,5,5,False,False,True,PASS,False,2.0,2034000.0,0.0,3390.0
IF2406,20240104,093003700,85245300.0,84,3383.4,62720,3728.0,3050.4,1704331803805670,3381.6,3381.4,3381.0,3380.8,3380.2,3383.4,3383.6,3384.0,3385.0,3386.0,1,5,1,1,1,1,3,10,4,8,34203700,IF,202406,200,AM,False,True,False,2024-01-04 09:30:03.700,2024-01-04 01:30:03.805670+00:00,0,True,5,5,False,False,True,PASS,False,7.0,7103340.0,3.0,3382.542857142857
